0	0.001	0.001
0.00375	0.004	0.001
0.003875	0.004	0.0011
0.007625	0.001	0.0011
0.00775	0.001	0.0012
0.0115	0.004	0.0012
0.011625	0.004	0.0013
0.015375	0.001	0.0013
0.0155	0.001	0.0014
0.01925	0.004	0.0014
0.019375	0.004	0.0015
0.023125	0.001	0.0015
0.02325	0.001	0.0016
0.027	0.004	0.0016
0.027125	0.004	0.0017
0.030875	0.001	0.0017
0.031	0.001	0.0018
0.03475	0.004	0.0018
0.034875	0.004	0.0019
0.038625	0.001	0.0019
0.03875	0.001	0.002
0.0425	0.004	0.002
0.042625	0.004	0.0021
0.046375	0.001	0.0021
0.0465	0.001	0.0022
0.05025	0.004	0.0022
0.050375	0.004	0.0023
0.054125	0.001	0.0023
0.05425	0.001	0.0024
0.058	0.004	0.0024
0.058125	0.004	0.0025
0.061875	0.001	0.0025
0.062	0.001	0.0026
0.06575	0.004	0.0026
0.065875	0.004	0.0027
0.069625	0.001	0.0027
0.06975	0.001	0.0028
0.0735	0.004	0.0028
0.073625	0.004	0.0029
0.077375	0.001	0.0029
0.0775	0.001	0.003
0.08125	0.004	0.003
0.081375	0.004	0.0031
0.085125	0.001	0.0031
0.08525	0.001	0.0032
0.089	0.004	0.0032
0.089125	0.004	0.0033
0.092875	0.001	0.0033
0.093	0.001	0.0034
0.09675	0.004	0.0034
0.096875	0.004	0.0035
0.100625	0.001	0.0035
0.10075	0.001	0.0036
0.1045	0.004	0.0036
0.104625	0.004	0.0037
0.108375	0.001	0.0037
0.1085	0.001	0.0038
0.11225	0.004	0.0038
0.112375	0.004	0.0039
0.116125	0.001	0.0039
0.11625	0.001	0.004
0.12	0.004	0.004
